ID,Name,Sex,Age,Height,Weight,Sport,Event,Medal
114200,Doina Sticulescu,F,16,156,41,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver
114213,Lara Stalder,F,19,166,60,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
114214,Marvin Federick Stalder,M,22,185,77,Rowing,Rowing Men's Coxed Eights,Gold
114217,Dawn Michelle Staley,F,26,165,58,Basketball,Basketball Women's Basketball,Gold
114226,"Maria Geertruida ""Ria"" Stalman",F,32,179,82,Athletics,Athletics Women's Discus Throw,Gold
114243,Frantiek tambacher,M,27,177,71,Football,Football Men's Football,Gold
114250,Hagen Stamm,M,24,191,100,Water Polo,Water Polo Men's Water Polo,Bronze
114253,"Michael Eugene ""Mike"" Stamm",M,20,191,81,Swimming,Swimming Men's 100 metres Backstroke,Silver
114282,Anioara Stanciu-Cumir,F,22,172,63,Athletics,Athletics Women's Long Jump,Gold
114307,"Andrew William ""Andy"" Stanfield",M,24,187,79,Athletics,Athletics Men's 200 metres,Gold
114314,Hans Stanggassinger,M,24,191,112,Luge,Luge Mixed (Men)'s Doubles,Gold
114321,Richard Courtney Stanhope,M,23,189,84,Rowing,Rowing Men's Coxed Eights,Silver
114323,George Anthony Stanich,M,19,190,84,Athletics,Athletics Men's High Jump,Bronze
114324,Ryszard Karol Staniek,M,21,180,80,Football,Football Men's Football,Silver
114341,Tomasz Stankiewicz,M,21,186,80,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
114344,Georgi Stankov,M,25,186,81,Boxing,Boxing Men's Light-Heavyweight,Bronze
114347,Dragana Stankovi,F,21,195,73,Basketball,Basketball Women's Basketball,Bronze
114367,Heather Mary Stanning,F,27,181,72,Rowing,Rowing Women's Coxless Pairs,Gold
114383,Milorad Stanulov,M,27,187,88,Rowing,Rowing Men's Double Sculls,Silver
114387,Phoebe Stanz,F,20,163,62,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
114389,Charlotte Stapenhorst,F,21,168,68,Hockey,Hockey Women's Hockey,Bronze
114404,David Collin Starbrook,M,27,185,89,Judo,Judo Men's Half-Heavyweight,Silver
114413,Sergey Viktorovich Starikov,M,21,178,91,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
114441,Anatoly Vasilevich Starostin,M,20,177,70,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
114455,Vyacheslav Ivanovich Starshinov,M,23,174,83,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
114459,Yury Vasilyevich Starunsky,M,27,189,87,Volleyball,Volleyball Men's Volleyball,Bronze
114482,Bohuslav astn,M,22,180,83,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
114486,Paul Stastny,M,24,183,93,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
114527,Brenda Lee Stauffer (-Hoffman),F,23,165,60,Hockey,Hockey Women's Hockey,Bronze
114535,"Julia Ann ""Julie"" Staver",F,32,170,61,Hockey,Hockey Women's Hockey,Bronze
114555,Ashley Steacy,F,29,158,64,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze
114563,"Richard Irving ""Dick"" Stearns, III",M,37,177,75,Sailing,Sailing Mixed Two Person Keelboat,Silver
114568,Peter Hermann Stebler,M,21,189,84,Rowing,Rowing Men's Coxed Fours,Silver
114570,Maurizio Stecca,M,21,165,54,Boxing,Boxing Men's Bantamweight,Gold
114573,Renate Stecher (Meiner-),F,22,170,71,Athletics,Athletics Women's 100 metres,Gold
114577,Lee Ethel Stecklein,F,19,183,77,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
114579,"Kathryn Suzanne ""Katy"" Steding",F,28,183,73,Basketball,Basketball Women's Basketball,Gold
114590,"Daniel ""Dan"" Steele",M,32,188,100,Bobsleigh,Bobsleigh Men's Four,Bronze
